Pathway	GeneID	Symbol	Description	Stress_vs_WW_log2FC	Stress_vs_WW_padj	Recovery_vs_Stress_log2FC	Recovery_vs_Stress_padj	WW15m_vs_WW_log2FC	WW15m_vs_WW_padj
Proline	AT2G39800.1	NA	NA	2.6235	8.564e-192	-0.3979	0.0001298	-0.3002	0.006824
Beta_Carotene	AT3G14440.1	NA	NA	2.6226	4.426e-56	-1.4927	2.52e-17	0.0979	0.7156
Gibberellin_GA3	AT1G15550.1	NA	NA	1.5255	1.249e-19	2.525	5.268e-57	2.6263	3.658e-51
IAA_Auxin	AT1G04610.1	NA	NA	1.3523	0.208	1.0387	0.295	2.1706	0.03672
Gibberellin_GA3	AT4G02780.1	NA	NA	0.271	0.4504	-0.092	0.8209	-0.1198	0.786
Alpha_Tocopherol	AT3G63410.1	NA	NA	0.2078	0.002489	-0.0658	0.445	0.0183	0.8589
EPA_like	AT3G11170.1	NA	NA	0.1839	0.002316	-0.0444	0.5711	0.0931	0.1962
Proline	AT3G55610.1	NA	NA	0.1312	0.1647	-0.2413	0.007728	-0.4016	4.21e-06
Gibberellin_GA3	AT5G25900.1	NA	NA	0.1144	0.1769	-0.1833	0.02308	-0.3017	0.0002389
Lutein	AT3G53130.1	NA	NA	0.1109	0.09593	-0.1398	0.03471	-0.0069	0.9436
Astaxanthin	AT5G52570.1	NA	NA	0.0744	0.4932	-0.9311	2.392e-28	-0.5081	9.814e-09
Zeaxanthin	AT5G52570.1	NA	NA	0.0744	0.4932	-0.9311	2.392e-28	-0.5081	9.814e-09
Alpha_Tocopherol	AT4G32770.1	NA	NA	0.0691	0.4555	-0.0025	0.9828	-0.0077	0.9487
DHA_like	AT5G05580.1	NA	NA	0.0675	0.3831	0.1325	0.06388	0.3245	9.378e-07
Beta_Carotene	AT3G04870.1	NA	NA	0.0619	0.4179	-0.0034	0.9722	0.1485	0.03672
Lutein	AT3G10230.1	NA	NA	0.05	0.748	-0.129	0.3528	0.2384	0.06509
IAA_Auxin	AT4G02610.1	NA	NA	0.0473	0.8101	-0.1974	0.2223	-0.1737	0.3167
IAA_Auxin	AT4G13770.1	NA	NA	0.0135	0.9181	0.23	0.01521	0.2869	0.00228
Zeaxanthin	AT1G68550.1	NA	NA	-0.1614	0.2196	-0.5351	5.013e-06	-0.8603	1.116e-13
Gibberellin_GA3	AT1G05160.1	NA	NA	-0.1626	0.1216	-0.5997	2.851e-10	-0.4788	1.93e-06
ABA	AT4G19170.1	NA	NA	-0.1634	0.2896	0.7368	2.78e-08	0.4262	0.00281
Glycine_Betaine	AT4G09570.1	NA	NA	-0.2152	0.2353	1.3782	4.362e-20	0.8118	4.265e-07
ABA	AT1G52340.1	NA	NA	-0.2298	0.006389	-0.3252	0.000135	-0.4163	1.587e-06
EPA_like	AT3G15850.1	NA	NA	-0.3206	1.19e-06	-0.1328	0.08963	0.0774	0.3727
DHA_like	AT3G15850.1	NA	NA	-0.3206	1.19e-06	-0.1328	0.08963	0.0774	0.3727
Gibberellin_GA3	AT1G80340.1	NA	NA	-0.566	0.1544	-0.7761	0.06406	-0.0455	0.9351
Proline	AT5G38710.1	NA	NA	-1.0274	0.04557	1.0248	0.05282	0.9301	0.08449
Proline	AT3G30775.1	NA	NA	-2.2751	3.047e-15	1.3534	2.497e-05	0.9071	0.007138
Alpha_Tocopherol	AT2G24850.1	NA	NA	-2.5209	0.001318	2.3495	0.003891	1.3049	0.1022
Proline	AT5G14800.1	NA	NA	NA	NA	NA	NA	NA	NA
Glycine_Betaine	AT3G06460.1	NA	NA	NA	NA	NA	NA	NA	NA
Glycine_Betaine	AT1G65260.1	NA	NA	NA	NA	NA	NA	NA	NA
Beta_Carotene	AT4G14210.1	NA	NA	NA	NA	NA	NA	NA	NA
Beta_Carotene	AT1G06820.1	NA	NA	NA	NA	NA	NA	NA	NA
Lutein	AT1G06820.1	NA	NA	NA	NA	NA	NA	NA	NA
Astaxanthin	AT4G25700.1	NA	NA	NA	NA	NA	NA	NA	NA
Zeaxanthin	AT4G25700.1	NA	NA	NA	NA	NA	NA	NA	NA
EPA_like	AT2G29980.1	NA	NA	NA	NA	NA	NA	NA	NA
IAA_Auxin	AT1G48910.1	NA	NA	NA	NA	NA	NA	NA	NA
IAA_Auxin	AT2G22330.1	NA	NA	NA	NA	NA	NA	NA	NA
ABA	AT1G67080.1	NA	NA	NA	NA	NA	NA	NA	NA
ABA	AT2G36110.1	NA	NA	NA	NA	NA	NA	NA	NA
ABA	AT5G45340.1	NA	NA	NA	NA	NA	NA	NA	NA
Alpha_Tocopherol	AT2G18950.1	NA	NA	NA	NA	NA	NA	NA	NA
Alpha_Tocopherol	AT1G08550.1	NA	NA	NA	NA	NA	NA	NA	NA
Gibberellin_GA3	AT2G32440.1	NA	NA	NA	NA	NA	NA	NA	NA
Gibberellin_GA3	AT1G02400.1	NA	NA	NA	NA	NA	NA	NA	NA
